graph,graph_source,origin,dest,origin_node,dest_node,has_pop_data,noise_weight,time_weight,elev_weight,cruise_kts,wx_filter,k,route_rank,distance_nm,time_min,cost,worst_wx,waypoints,class_e_min,climb_m,pop_affected,pop_per_nm
cell,cell,ORF,CRW,T1286300,T1054156,True,0.0,1.0,0.0,120.0,MVFR,1,1,319.3,159.7,159.68,VFR,40,0,579.0,31508.0,98.67835891011588
cell,cell,ORF,CRW,T1286300,T1054156,True,0.1,1.0,0.0,120.0,MVFR,1,1,319.5,159.7,160.42,VFR,41,0,744.0,16027.0,50.16275430359937
cell,cell,ORF,CRW,T1286300,T1054156,True,0.2,1.0,0.0,120.0,MVFR,1,1,319.5,159.7,161.12,VFR,41,0,744.0,16027.0,50.16275430359937
cell,cell,ORF,CRW,T1286300,T1054156,True,0.3,1.0,0.0,120.0,MVFR,1,1,319.5,159.7,161.82,VFR,41,0,744.0,16027.0,50.16275430359937
cell,cell,ORF,CRW,T1286300,T1054156,True,0.5,1.0,0.0,120.0,MVFR,1,1,319.5,159.7,163.22,VFR,41,0,744.0,16027.0,50.16275430359937
cell,cell,ORF,CRW,T1286300,T1054156,True,0.75,1.0,0.0,120.0,MVFR,1,1,319.5,159.7,164.97,VFR,41,0,744.0,16027.0,50.16275430359937
cell,cell,ORF,CRW,T1286300,T1054156,True,1.0,1.0,0.0,120.0,MVFR,1,1,320.1,160.1,166.67,VFR,41,0,699.0,14371.0,44.89534520462355
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,0.0,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,217.44,VFR,360,0,7945.0,44409.0,102.0896551724138
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,0.1,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,218.7,VFR,359,0,7863.0,44373.0,102.00689655172414
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,0.2,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,219.95,VFR,359,0,7863.0,44373.0,102.00689655172414
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,0.3,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,221.21,VFR,359,0,7863.0,44373.0,102.00689655172414
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,0.5,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,223.72,VFR,359,0,7863.0,44373.0,102.00689655172414
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,0.75,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,226.85,VFR,359,0,7863.0,44373.0,102.00689655172414
transmission,transmission,ORF,CRW,20783bf6-c249-4f44-a319-5828861f92a6,TX52445,True,1.0,1.0,0.0,120.0,MVFR,1,1,435.0,217.4,229.99,VFR,353,0,7848.0,44345.0,101.94252873563218
